Business Name,Business Type,Physical Location/Address,Business Zipcode,Business Website,Business Phone Number,Business Email,Other Information,Unnamed: 8,Unnamed: 9,Neighborhood
 Seila Herrera,Accommodation and Food Services,4437A Washington St ,2131,laspalmaskitchen.com,6178693865,Laspalmasrest@icloud.com,"Minority-owned, Immigrant-owned",,,Roslindale
Dj's Deli and Market,Accommodation and Food Services,120 Boston St Dorchester MA 02125,2125,www.djsmarketanddeli.com,617-436-9766,djsmarketanddeli@gmail.com,,,,Dorchester
8 Stratton Event Management,"Professional, Scientific, and Technical Services","1137 Washington Street, Suite 101, Dorchester, MA",2124,www.8stratton.com,No Number,kelly@8stratton.com,,,,Dorchester
A SQUARE DESIGN LLC,"Professional, Scientific, and Technical Services","Boston, MA",2115,asquaredesignboston.com,339.222.7613,anddie@asquaredesignboston.com,"Minority-owned, Immigrant-owned",,,Fenway/Kenmore
Abali Samira’s daycare,Education,120 Ashland st  Melrose ,2176,No Website,781-985-0851,abalisamira@hotmail.com,Minority-owned,,,Melrose
"Advocacy for Special Kids, LLC",Education,25 Braintree Hill Office Park Suite 200 ,2184,http://asktheadvocate.org,7814284970,maureen@asktheadvocat.org,,,,Braintree
Alexis Frobin Acupuncture,Healthcare and Social Assistance,1532b Dorchester Ave,2122,http://www.alexisfrobinacu.com,917-968-2639,Alexis.frobin@gmail.com,,,,Dorchester
All Fit Alteration,Other Services (Except Public Administration),"138 newbury Street, second floor",2116,No Website,6172361984,allfittailoring@yahoo.com,"Minority-owned, Immigrant-owned",,,Back Bay/Beacon Hill
All Things Visual,"Professional, Scientific, and Technical Services",No Address,2136,https://queentemi.wordpress.com/,No Number,allthingsvisual1@gmail.com,Minority-owned,,,Hyde Park
Allison Tanenhaus,"Professional, Scientific, and Technical Services",337 Summer St.,2144,https://allisontanenhaus.com,No Number,slogansfornothing@gmail.com,,,,Somerville
Alves l Santos P.C.,"Professional, Scientific, and Technical Services","37 Belmont St, Suite203",2301,No Website,7742039751,Santos@alvessantoslaw.com,"Minority-owned, Immigrant-owned",,,Brockton
AMAL,Manufacturing,29 Nelson St,2124,www.amalcreams.com,6173524927,amalcreams@gmail.com,Minority-owned,,,Dorchester
American Dream Home Care Agency LLC,Healthcare and Social Assistance,33 Dover St,2301,No Website,17742238801,tavaresdonations69@gmail.com,Immigrant-owned,,,Brockton
