Business Name,Business Type,Physical Location/Address,Business Zipcode,Business Website,Business Phone Number,Business Email,Other Information
CRECK HEALTH & BEAUTY,"apperal ,beauty and health supplies",123A Alexander st,02125,,6175300626,raysamw@yahoo.com,Minority-owned
Not yet,"Retail, Handmade",Not yet,02155,,860 338 2051,Sopra787@gmail.com,N/A
Abali Samira’s daycare,Education,120 Ashland st  Melrose ,02176,,781-985-0851,abalisamira@hotmail.com,Minority-owned
"Advocacy for Special Kids, LLC",Education,25 Braintree Hill Office Park Suite 200 ,02184,http://asktheadvocate.org,7814284970,maureen@asktheadvocat.org,N/A
Alexis Frobin Acupuncture,Healthcare,1532b Dorchester Ave,02122,http://www.alexisfrobinacu.com,917-968-2639,Alexis.frobin@gmail.com,N/A
Alexis Frobin Acupuncture,Healthcare,1532b Dorchester Ave,02122,http://www.alexisfrobinacu.com,9179682639,alexis.frobin@gmail.com,N/A
All Fit Alteration,Retail,"138 newbury Street, second floor",02116,,6172361984,allfittailoring@yahoo.com,"Minority-owned, Immigrant-owned"
All Things Visual,Website Design,,02136,https://queentemi.wordpress.com/,,allthingsvisual1@gmail.com,Minority-owned
Alves l Santos P.C.,Professional Services,"37 Belmont St, Suite203",02301,,7742039751,Santos@alvessantoslaw.com,"Minority-owned, Immigrant-owned"
Alves l Santos P.C.,Professional Services,"37 Belmont St, Suite203",02301,,7742039751,Santos@alvessantoslaw.com,"Minority-owned, Immigrant-owned"
Amorino Gelato,Food and Beverage,"249 Newbury Street, Boston, MA, 02116",02116,,6175853185,amorino101@gmail.com,Immigrant-owned
andreas vault,Retail,44 linden street,02122,https://andreasvault.com,7818282888,info@andreasvault.com,Minority-owned
"Arredondo Family Foundation, Inc.",Suicide Prevention - Military and for Spanish speakers,"4258 Washington Street, Suite 11",02131,https://arredondofoundation.org/,6176372054,melida@arredondofoundation.org,Minority-owned
"Bento Real Estate Group, Inc. ",Real Estate Broker/Owner,685 East 5th Street,02127,http://www.bentorealestate.com/,617-901-9671,darcy@bentorealestate.com,N/A
Boston Chinatown Tours,"Tourism, Food, Culture, History of Boston's Chinatown",116 Lincoln St,02111,https://www.jacquelinechurch.com/chinatown-tours,6178514880,jacquelinechurch.consulting@gmail.com,Minority-owned
Boston Kids,Retail,Faneuil Hall Marketplace,02109,,6176885967,susanluongo@outlook.com,N/A
Boston Sports Leagues,Recreational sports and social events,30 Newbury Street- 3rd Fl,02116,https://www.BostonSportsLeagues.com,6176515000,info@bostonsportsleagues.com,N/A
Break of Dawn catering,"Creative Economy, Food and Beverage, Restaurant & Catering",80 West Dedham St. 1506 Boston Ma.,02118,,6178176130,Amstrokes617@gmail.com,Minority-owned
Cityhome ,"Restaurant & Catering, Retail",Commercial Wharf,02110,https://shopcityhome.com/,6788004313,rachel@shopcityhome.com,N/A
CravenRaven Boutique ,Retail,20 Thatcher St,02136,https://cravenravenboutique.com/,8573184391,Officialcravenraven.com,Minority-owned
Curious Turk,Education,211 WACHUSETT ST,02130,https://www.ecegurler.com/,7737176243,info@ecegurler.com,Minority-owned
D & D Towing,Towing,1 Ellery st,02127,,617-464-8697,dwhe605849@aol.com,N/A
D&A Solutions,"Clean-tech/Green-tech, Cleaning Company ",29 Tarbox st,02136,https://dasolutionsco.com/,6173099762,cleanedbydas@gmail.com,Minority-owned
Eye Adore Threading,Salon,120 Charles Street,02114,http://www.eyeadorethreading.com,857-263-8054,hello@eyeadorethreading.com,"Minority-owned, Immigrant-owned"
Eye Adore Threading,Salon,467 Shawmut Ave.,02118,http://www.eyeadorethreading.com,857-991-1020,hello@eyeadorethreading.com,"Minority-owned, Immigrant-owned"
Fatou Sy,Cleaning,160 Crawford St ,02121,,6175293718,Fatousy1229@gmail.com ,Minority-owned
Flair Boston,Retail,140 Newbury Street,02116,https://flairbridesmaid.com/,16172472828,Stacey@flairbridesmaid.com,N/A
FLORECEN,Education,161 South Huntington Avenue,02130,,6175960038,deniseflores7@gmail.com,Minority-owned
FLOW,Creative Economy,61 Ridgewood St. ,02122,,617-372-4675,ladyflowceo@gmail.com,N/A
Fountain Street,Creative Economy,"4§0C Harrison Ave, Boston",02118,https://www.fsfaboston.com/,7742861800,director@fsfaboston.com,N/A
Full Moon Botanica,Health & Wellness,"38 Gleason St, Boston, MA",02121,https://the-full-moon-botanica.myshopify.com/,857-209-8008,info@thefullmoonbotanica.com,Minority-owned
Fynerthings Gifts,Retail,19 old Morton at ,02126,,8454611421,Fynerthings@gmail.com,Minority-owned
Gabriela Salas,Professional Services,18 Baker St,02132,https://brandswithapurpose.com/,6178701379,gaby@brandswithapurpose.com,Minority-owned
Gem Am I,Retail,98 crestwood park,02121,,8573089875,tlgmk123@gmail.com,Minority-owned
Hablo Español ,Education,161 South Huntington Avenue,02130,,6175960038,hehabloespanol@gmail.com,Minority-owned
HAI Analytics,"Education, Professional Services, Technology, Data science / predictive modeling",67 2nd Street,02155,https://haianalytics.com/,6179344556,ecoleman@haianalytics.com,N/A
Happy Hangups,Retail,Faneuil Hall Marketplace,02109,,6176885967,happyhangups@outlook.com,N/A
"Holistically You, Inc.","Education, Healthcare, Professional Services","100A Warren Street, Suite 1, Roxbury",02119,http://www.holisticallyyouinc.com,6172866861,vanessa@holisticallyyouinc.com,Minority-owned
Honor Code Creative LLC,"Creative Economy, Professional Services, Advertising, Marketing, Branding",84 CLIFFORD ST,02176,https://www.honorcodecreative.com/,6176458494,susanne@honorcodecreative.com,Minority-owned
"IMMAD, LLC",Forensic Science ,62 Forest Ave,02169,,6173478737,deniseavalenti@gmail.com,N/A
INNOVENUS,"Professional Services, Coach women entrepreneurs start a business",867 Boylston St,02199,,9152276277,mgconsultant@outlook.com,"Minority-owned, Immigrant-owned"
Interactive Construction Inc.,Development and Construction,9 M Street,02127,,6177997900,RockHillPartners@protonmail.com,Immigrant-owned
Jlw Medical Management Consulting,"Financial Services, Healthcare, Professional Services",30 Newbury street,02116,,857-260-8010,Jessica.Whitfield@jlwmedicalmanagement.com,Minority-owned
JLW Medical Management Consulting,"Financial Services, Healthcare, Professional Services, Consulting","594 Hollis Street, Framingham, MA, 01702",02116,https://jlwmedicalmanagement.net,857-444-5444,info@jlwmedicalmanagement.net,"Minority-owned, N/A"
JoyefullyNatural,Healthcare,40 Wales St,02124,,8577195144,joyefullynatural@gmail.com,Minority-owned
Karen Brodie,Construction ,"1 Westinghouse Plaza, A207",02136,,617-593-8986,B.i.group25@gmail.com ,Minority-owned
KeepIt Financial LLC,Financial Services,"415 Washington Street, Brookline, MA ",02445,https://www.keepitfinancial.com/,6173887272,emily@keepitfinancial.com,N/A
Kristin Simone with Grant Boutique Design house & Agency ,"Creative Economy, Professional Services, Retail, Creative Agency",Remote,02116,http://www.thegrantboutique.com,8572888227,inquire@kristinsimone.com,"Minority-owned, Immigrant-owned"
Krystyn Elek - Unlimited Sotheby’s International Realty,Professional Services,673 Centre St,02130,http://krystynsellshomes.com,8432095044,krystyn.elek@unlimitedsir.com,Minority-owned
LEVATUS Wealth Services,Financial Services,129 Newbury Street Suite 300,02116,https://www.levatuswealth.com/,617-505-4710,jgrande@levatuswealth.com,N/A
Live Bravely,Healthcare,"30 Newbury St, Suite 3",02116,https://www.bravelytogether.com,,hello@bravelytogether.com,N/A
LORD & Stovell dba EXIT Bayside Realty,"Professional Services, Residential and Commercial Real Estate Sales and Leasing",1810 Dorchester Ave. #9C,02124,https://www.EXITbaysideRealty.com,617-265-6111,Info@EXITBaysideRealty.com,"Minority-owned, Immigrant-owned"
LsLuxe Designs,"Retail, Interior Design & Construction Project Management ","Boston,MA",02116,https://lsluxedesigns.com/, (857) 246-8408, lsluxedesigns@gmail.com,Immigrant-owned
MakerHealth,"Bio-tech & Life Sciences, Creative Economy, Healthcare","23 Drydock Ave. Boston, MA ",02210,http://www.makerhealth.co,,anna@makerhealth.co,N/A
McDermott Ventures ,Communications and Public Affairs ,McDermott Ventures ,02110,Http://mcdermottventures.com,6175579190,carolyn@mcdvent.com,N/A
Medical Aesthetics on Tremont,Medical spa/ Day Spa,655 Tremont Street,02118,https://www.medicalaestheticsontremont.com/,8572398067,info@maont.com,N/A
Meet the Creators ,Art,"20 Dennis Street, Boston MA",02119,,617-756-8022,contact@meetthecreators.net,Minority-owned
Miss.technology,Technology,11 new whitney st boston ma ,02115,,,ilvert.shawneice@gmail.com,N/A
Monogram Ring,Retail,N. Billerica ,02215,http://www.AbigailPope.com,334-547-9481,popemodern@gmail.com,N/A
Monogram Ring,Retail,N. Billerica ,02215,http://www.AbigailPope.com,334-547-9481,popemodern@gmail.com,N/A
Motivated Helpers Green Residential Cleaning ,Green Cleaning (Residential ,Melrose ,02176,https://motivatedhelper.com/,404-396-5695,Motivatedhelpers@gmail.com,Minority-owned
New Park Creative,Creative Agency,"120 St James Ave Floor 6, Boston Ma",02116,https://www.newparkcreative.com,617-249-1231,Carrianne@newparkcreative.com,Minority-owned
Nimba LLC dba Amorino,Food and Beverage,249 Newbury Street,02116,,6179539682,lea.sasportes@gmail.com,Immigrant-owned
Norelle Done,Professional Services,N/A (Digital only),02108,http://www.norelledone.com,206-941-2831,norelledone@gmail.com,N/A
"Parkway Driving School, LLC","Education, Professional Services",1752 Centre Street,02132,http://parkwaydrivingschool.com/,6174774257,info@parkwaydrivingschool.com,N/A
Parkway Wealth Management,"Education, Financial Services","20 McKenna Terrace Suite 303 
West Roxbury MA",02132,http://parkwaywealth.net,617-620-5172,eduffy@parkwaywealth.net,N/A
Parsnip,Technology,50 Malden Street,02118,https://parsnip.me,9196215601,sally@parsnip.me,N/A
Pie for Bands Inc,Technology,543 Dorchester Ave,02127,,,emily@pieforbands.com,N/A
Pillar Search & HR Consulting,"Professional Services, Executive Search/Recruiting/Human Resources Consulting","389 Beacon Street, No. 9",02116,https://www.pillarsearch.com,6175297708,cindy@pillarsearch.com,N/A
Potencia,"Education, Nonprofit","574 Boston Ave, Medford, MA",02155,https://www.potenciaus.org,(617) 580 - 0176,team@potenciaus.org,N/A
Queens Royal Cleaning Co,"Clean-tech/Green-tech, Education, Healthcare, Personal maid",289 georgetowne drive,02136,,7742970225,tweston128@gmail.com,Minority-owned
Queens Royal Cleaning Co,"Clean-tech/Green-tech, Education, Healthcare, Professional Services, Cleaning industry",289 georgetowne drive,02136,,7742970225,Queensroyalcleaning1@gmail.com,N/A
Rhodesia J Designs,"Creative Economy, Professional Services",6 Liberty Square  PMB #211 ,02109,https://www.rhodesiajdesigns.com,6172977717,me@rhodesiajdesigns.com,Minority-owned
Seacrest Corp,Professional Services,"Boston, MA",02109,https://seacrestcorp.com/contact-us,,arianna@seacrestcorp.com,Minority-owned
Seawright Realty Group,Real Estate,81 West Street,02136,,6176371873,kakins@seawrightrealtygroup.com,Minority-owned
So Saucy Entertainment ,Professional Services,Boston MA,02125,http://mshotsauce2u.com,9105572823,mshotsauce2u@gmail.com,Minority-owned
Sophy Tuttle Studios,Creative Economy,"26 Gorham Road, #2, Medford, MA",02155,http://www.sophytuttle.com,(978)394-1954,sophy@sophytuttle.com,Immigrant-owned
Spark FM Online ,Broadcast Media ,Boston MA ,02125,http://sparkfmonline.com,,sparkfmonline1@gmail.com,Minority-owned
Spatial Relationships,Technology,800 Boylston St #990756,02199,http://www.spatial-relationships.com,8574008922,kathrynb@spatial-relationships.com,N/A
Speak Like A Badass,Professional Services,"Newton, MA",02101,https://www.speaklikeabadass.com/,617.826.9412,AK@SpeakLikeABadass.com,"Immigrant-owned, N/A"
SUPERFRAU ,Food and Beverage,"196 Quincy St Dorchester, MA",02121,https://www.drinksuperfrau.com/,6172099786,Hello@drinksuperfrau.com,N/A
Superior Service Cleaning and Labor,Janitorial,108 GREENFIELD ROAD Suite 1R,02126,https://www.superiorservicecleaning.com/,617-980-8740,spena@superiorservicecleaning.com,Minority-owned
Sydney Janey Design | JaneyWORKS,Creative Economy,151 Townsend Street,02121,http://sydneyjaneydesign.com,8572300639,sydney@sydneyjaneydesign.com,Minority-owned
sySTEMic flow ,Education,"Boston, MA",02132,http://www.systemicflow.com,,jsanon@systemicflow.com,Minority-owned
"The Corny Bread Company, LLC",Food and Beverage,196 Quincy Street,02121,https://cornybread.com,617.917.5888,info@cornybread.com,Minority-owned
The Rose Maven,Retail,E-Commerce Store,02368,https://therosemaven.com,6172099917,shop@therosemaven.com,Minority-owned
The Stitch House,"Creative Economy, Education, Retail",846 Dorchester Ave,02125,https://www.stitchhousedorchester.com/,617-265-8013,info@stitchhousedorchester.com,N/A
Vers-ability,Creative Economy,5 Hatherly Rd,02135,https://www.vers-ability.com,8577537126,versabilitydecor@gmail.com,N/A
Wee Care JP ,Education,305 Lamartine Street ,02130,,617-522-7901,weecarejp@comcast.net ,Minority-owned
Women's Hub,Professional Services,"Boston, MA",02110,https://www.thewomenshub.net/,617-852-1489,vanessa@vanessafarino.com,"Minority-owned, Immigrant-owned"
Luna Healing,Life Coaching,Online Business Only,02115,http://www.lunahealingcrystals.com,6179530899,lunahealing@yahoo.com,Minority-owned
Therapy Evolved ,Healthcare,Virtual ,02346,http://www.therapyevolved.com,781-353-8068,Cheryl@therapyevolved.com,N/A
JaJa Co,Architecture,8 Mt. Auburn St.,02138,http://ja-ja.co,,info@deptofarchitecture.com,Minority-owned
TomBoy Glam,"Professional Services, Hair and Makeup",Mobile,02122,,,,Minority-owned
Spark Joy Boston,"Education, Professional Services",186 Washington Street Brighton MA,02135,http://www.sparkjoyboston.com,413-575-0188,Phoebe@sparkjoyboston.com,Minority-owned
Get Girls Going ,Education,Boston MA ,02125,https://www.getgirlsgoing.org/,5084509508,ggg@getgirlsgoing.org,Minority-owned
Kiddies Corner ,Education,858 Morton St.,02126,,,Kiddiescenter123@gmail.com,"Minority-owned, Immigrant-owned"
kiddies Corner Childcare ,Education,858 Morton Street,02126,,6178402814,kiddiescenter123@ gmail.com,"Minority-owned, Immigrant-owned"
Megan Fine Health & Life Coaching,Coaching,69 JOSEPHINE AVENUE,02144,https://www.coachedbymegan.com/,4845530416,meg.e.fine@gmail.com,N/A
Ferone Educational Consulting,Education,"Milton, MA",02186,https://www.feroneconsult.com/,6175043423,janet@feroneconsult.com,N/A
Satin Kiss,"Education, Retail","Mailing Address: 6 Liberty Sq., #2208, Boston, MA 02109",02109,https://www.satinkiss.me,857-308-4052,contact@satinkiss.me,Minority-owned
Allison Tanenhaus,Creative Economy,337 Summer St.,02144,https://allisontanenhaus.com,,slogansfornothing@gmail.com,N/A
Awayte,Financial Services,"Lawrence, MA",02101,https://www.awayte.com,212-931-0184,diane@awayte.com,Minority-owned
Iterators LLC,"Professional Services, software testing and data analysis - we can work with any business, any industry","50 Milk Street, Boston, MA 02109",02109,https://Iteratorstesting.com,617-909-0564,jwillcox@iteratorstesting.com,N/A
Presidential Properties,"Professional Services, Real Estate Brokerage","17 Myrtle Street, Boston, MA 02114",02114,http://www.yourbostonapartments.com/,857-362-7306,Boston@PresidentialProperties.us,N/A
Sparkle Clean Boston LLC,"Clean-tech/Green-tech, Professional Services",Boston ma,02119,https://www.sparklecleanboston.com/,7813758475,Sparklecleaningcompany21@gmail.com,Minority-owned
Purrmore Cat Care,Pet Care,Jamaica Plain,02130,https://www.purrmorecats.com/,617-870-3760,purrmore@purrmorecats.com,Immigrant-owned
Ayana Mack Design,Creative Economy,Online,02126,https://www.ayanamack.co/,,ayanamackdesign@gmail.com,Minority-owned
ZAAZEY,Extra Virgin Olive Oil,"588 Boston post Road, suite 301, Weston, MA 02493",02445,https://www.zaazey.com,6172168675,Laura@zaazey.com,N/A
Power Within Her,"Professional Services, Women's Empowerment Groups virtual & in person","235 High Stree W.Barnstable, Ma.",02101,http://www.powerwithinher.com ,7744130073,patricia@powerwithinher.com,N/A
Creative Contour by Carla ,Makeup Artistry,"750 American Legion Highway, Roslindale, MA ",02131,https://www.creativecontourbycarla.com,617-823-8048,Creativecontourbycarla@gmail.com ,N/A
Essentially Yours LLC,Retail,547 Hyde Park Avenue,02131,https://essentiallyyoursvending.com/,8572254247,eyvending@gmail.com,Minority-owned
Purposeful Projects Group,Professional Services,"Charlestown, MA",02129,https://purposefulprojectsgroup.com,,rleonard@purposefulprojectsgroup.com,N/A
Boston Got Next Entertainment,"Professional Services, Entertainment",1486 Dorchester Avenue #1,02124,https://bostongotnext.com,617-379-0194,bgn617@gmail.com,Minority-owned
TransitionHER,Professional Services,1 Devonshire Place,02109,http://www.transitionher.com/,8477070225,jayne@transitionher.com,N/A
"Groundations, LLC dba aneufit",Healthcare,364 Boylston Street,02116,https://www.aneufit.com/,6176814776,info@aneufit.com,Minority-owned
Erin Jackson Art ,Creative Economy,N/A,02135,https://www.etsy.com/shop/ErinJacksonArt,,erinlaselle@gmail.com,N/A
Boston Property Buyers,"Professional Services, Real Estate",25 Dorchester Ave Ste: 51436,02205,https://bostonpropertybuyers.com/,617-420-7191,Yosh@ospropertygroup.com,"Minority-owned, Immigrant-owned"
Lanique + Co,Retail,198 Tremont St Ste 411,02116,http://www.laniqueandco.com,305-780-6270,Gratitude@laniqueandco.com,Minority-owned
Blue Dynasty Entertainment and Travel,Tourism,PO Box 191911,02119,http://bluedynastyent.com,877-ENT-8003,Info@bluedynastyent.com,Minority-owned
Shanti,Food and Beverage,1111 Dorchester Ave,02125,https://www.shantiboston.com/,6179293900,rokeya@shantiboston.com,"Minority-owned, Immigrant-owned"
Dudley Cafe,Food and Beverage,15 Warren St,02119,https://www.dudleycafe.com/,6174451000,rokeya@shantiboston.com,"Minority-owned, Immigrant-owned"
Presidential Properties,Professional Services,"17 Myrtle Street, Boston, MA",02114,https://yourbostonapartments.com/,617-256-5516,kristie@presidentialproperties.us,N/A
Cobblestone Convenience LLC,Retail,"24 Joy Street, Boston, MA",02114,https://www.facebook.com/cobblestoneconvenience/,6172565516,INFO@COBBLESTONECONVENIENCE.COM,N/A
Boston Electrical Solutions Inc.,"Clean-tech/Green-tech, Professional Services, ELECTRICAL AND FIRE ALARM SERVICES",209 Eliot st,02186,,6173220095,bostonelectricalsolutions@gmail.com,N/A
Geri Paige Butner,"Professional Services, Business Launch & Life Alignment Coaching","Seaport, Boston, MA",02210,https://www.geripaige.com/,,,N/A
Fundamental Optical Solutions LLC,Technology,543 Mass Ave. 3,02118,https://www.fundamentalopticalsolutions.com,19788097759,gcoleiny@fundamentalopticalsolutions.com,N/A
Fundamental Optical Solutions LLC,Technology,543 Mass Ave. 3,02118,https://www.fundamentalopticalsolutions.com/,19788097759,gcoleiny@fundamentalopticalsolutions.com,Minority-owned
PM MECHANICAL SERVICES,"Clean-tech/Green-tech, Manufacturing, Professional Services, HVAC ,Mechanical, Building Automation, Clean safe Air",40 lonsdale st,02124,http://www.pmmechanicalservices.com/,6174330940,karaanneb99@gmail.com,N/A
So Sabe Catering ,Restaurant & Catering,996 Dorchester Ave Dorchester Ma,02125,https://www.sosabecatering.com,1(617)326-6432,juliajardim013@gmail.com,"Minority-owned, Immigrant-owned"
www.peppatopshairbar.com,Retail,9 Saint Casimir Street,02127,https://www.peppatopshairbar.com/,6174477633,peppatops@gmail.com,Minority-owned
Come Dista ,"Food and Beverage, Restaurant & Catering",1742 Washington St,02118,http://www.comedista.com,4138888753,Kiernan@comedista.com,N/A
Come Dista ,"Food and Beverage, Restaurant & Catering",1742 Washington St,02118,http://www.comedista.com,4138888753,Kiernan@comedista.com,N/A
Eva's Tailoring & Dry Cleaning Inc.,Clothing alteration and dry cleaning,537 Shawmut Avenue,02118,,6172669275,evascleaners@verizon.net,Minority-owned
Dollhouse Vanity & Co.,Beauty Salon,6 Hancock st ,02124,,5083040885,Dollhousevanityco@gmail.com,Minority-owned
We Are Hair,"Professional Services, Hair Salon",18A Hyde Park Ave.,02130,,6174708905,wearehair2@gmail.com,Minority-owned
Full Circle Arts,"Creative Economy, Contemplative + Healing Arts",52 Birch Street,02131,https://www.full-circle-arts.com/,617-971-8951,FullOArts@gmail.com,N/A
Samar Real Estate Solutions LLC,Construction,165 South Street unit 2L,02130,https://solutionsbysamar.com,617-780-5293,samar@solutionsbysamar.com,N/A
"Parkway Driving School, LLC","Education, Professional Services","1752 Centre Street, West Roxbury, MA  02132",02132,https://parkwaydrivingschool.com/,617-477-4257,Info@parkwaydrivingschool.com,N/A
